id,tweet,created_at,user_id,name,username,retweets_count,replies_count,likes_count,quote_url
1523574457549623296,"¡Vamos con los talleres de mayo! Este mes tenemos un montón de #freeevents 👩‍💻Metaverso, OSINT, Sistemas de diseño UX/UI, un coloquio sobre educación ... ¡No esperes más y saca ya tu entrada! 🎟 https://t.co/Nlwg6cTDOa  https://t.co/zWjT1I2AER",2022-05-09 10:03:51 CEST,1162694149956603904,The Bridge,thebridge_tech,0,0,0,
1522231140656066561,👏🚀Lanzamos una nueva edición de las #becas Digital Talent Pipeline para cursar un #bootcamp en junio y septiembre ¿Quieres solicitar la tuya? Plazo hasta el 30 de mayo ¡Date prisa #digitaltalent! ➡ https://t.co/PXFR0q85F7  https://t.co/qwiGSm4WOI,2022-05-05 17:06:00 CEST,1162694149956603904,The Bridge,thebridge_tech,1,0,0,
1522114536286920704,La 2da presentación del #LibroIC en #Madrid será el J26Mayo(18:30) en @TheBridge_Tech acompañados por  Tíscar Lara (@tiscar) y Mario López de Ávila (@nodosenlared) sobre impacto de la #IC en el diseño y gestión de las organizaciones. +Info/inscripciones:  https://t.co/OVzv1SdR7x,2022-05-05 09:22:39 CEST,15993641,Amalio A. Rey,arey,2,0,4,
1521871017714589699,"🤩¿Quieres conocer el talento digital que llevas dentro? ¡Ven a nuestro Open Day y descúbrelo!   📅Viernes 20 de mayo 11.15h en Paseo de Recoletos 15, Madrid.  🎟Saca tus entradas👇👇 https://t.co/qq3WqsydKv",2022-05-04 17:15:00 CEST,1162694149956603904,The Bridge,thebridge_tech,0,0,0,
1519712433740386308,"¡Gracias a todos por el día de hoy! 😍😍  De la mano de: @AccentureSpain , Bonus Studios, @Making_Science_ @SomosMiogroup , Silicon HR , y @TheBridge_Tech hemos podido acercar el futuro talento digital hacia el mundo laboral 🔝 🔝   #talent #empresas #marketing #BeGeneration  https://t.co/wLbzhtXb94",2022-04-28 18:17:33 CEST,2979740235,Generation Spain,spaingeneration,0,0,1,
1519706866703638529,En breve empezamos la charla sobre RV y Psicología! Todo ready! @TheBridge_Tech  https://t.co/lW3fvKhcGZ,2022-04-28 17:55:26 CEST,3294953441,Jose Maria Torralba,jm_torralba_,1,0,15,
1519432213061943303,Mañana estaré junto a @LucaMefisto en una mesa redonda en @TheBridge_Tech donde hablaremos de la relación que hay entre #psicologia y la #realidadvirtual. Pinta interesante!!…,2022-04-27 23:44:03 CEST,3294953441,Jose Maria Torralba,jm_torralba_,1,0,6,https://twitter.com/TheBridge_Tech/status/1517147713254526978
1519359124219338752,"Acabo de escuchar la charla de @kairos_ds en @TheBridge_Tech. Ahora que todo lo que tengo que aprender me abruma. Escuchar que si llego a la meta, me esperará una empresa así (ojalá), un equipo en el que se respire ese buen rollo y amor por el trabajo, me da fuerza para pelear",2022-04-27 18:53:38 CEST,604485175,Berta Otero,bertinha84,0,0,8,
1519338659111178242,@pmdr_1189 @TheBridge_Tech Lamentablemente,2022-04-27 17:32:18 CEST,53089020,Gabiña,gabinha,0,0,1,
1519225678335459328,Esto es hoy!  Nos vemos en @TheBridge_Tech con @quierodata para hablar de crecimiento dentro de @kairos_ds 🧡,2022-04-27 10:03:22 CEST,431035304,Irene M Morgado 🌿,irnmm,1,0,5,https://twitter.com/kairos_ds/status/1518967719516909568
1519208638136602626,@burn_es Prueba de ello 📸🔥  https://t.co/7SWL2ionj3,2022-04-27 08:55:39 CEST,1162694149956603904,The Bridge,thebridge_tech,1,0,2,
1518967719516909568,"Nuestra Head de Data &amp; IA @quierodata, estará mañana en las oficinas de @TheBridge_Tech, para hablar de las oportunidades de crecimiento profesional dentro de Kairós DS.🤩   @IrnMM la acompañará resolviendo cualquier duda sobre Kairós DS…   ¿Te veremos allí?🧡  #OrgulloKairós  https://t.co/0hUC9XkPxF",2022-04-26 16:58:20 CEST,4295874994,Kairós DS,kairos_ds,5,0,7,
